Timestamp, PositionX, PositionY, PositionZ, RotationY, Collision, GoalX, GoalZ, UpArrow, DownArrow,  LeftArrow, RightArrow, Space
10-28-2020 10:56:12.264 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.292 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.329 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.357 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.388 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.424 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.473 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.501 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.528 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.565 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.597 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.637 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.677 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.704 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.737 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.768 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.800 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.844 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.880 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.908 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.940 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:12.977 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.009 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.053 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.089 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.116 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.148 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
